"""id"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""duration_ms"",""time_signature"",""Y۱l"",""Enerjisi"""
"81,""1PbsliSdEPxPRqtsrKFzOR"",0.579,0.803,4,-4.893,0,0.148,0.79,0.0582,0.0813,0.396,180.03,179134,4,2017,""Energic"""
"82,""26D88ZaVe08FKhUrdttd3t"",0.368,0.666,2,-7.346,1,0.0626,0.0414,0.00159,0.338,0.231,120.107,180550,4,2017,""Low Enerjic"""
"83,""4cxdvy2QfC7Yzh5m8zwX3i"",0.426,0.788,0,-4.566,1,0.0404,0.11,0,0.289,0.294,84.965,176223,4,2017,""Energic"""
"84,""46akfgyewAFDiPtdPyJetE"",0.518,0.42,7,-5.968,1,0.0304,0.455,0,0.311,0.173,129.289,178777,4,2017,""Low Enerjic"""
"85,""5lExEFPUk3cceN0iMGIDro"",0.606,0.562,10,-6.496,1,0.0927,0.109,0,0.106,0.285,86.992,179307,4,2017,""Low Enerjic"""
"86,""59EEEMl22vP5wSnqjOYDM0"",0.42,0.654,0,-5.825,1,0.0492,0.209,8.18e-06,0.169,0.302,137.958,180217,4,2017,""Low Enerjic"""
"87,""2FM1zCMO0OE9g6JqmT9p36"",0.414,0.779,10,-4.863,0,0.116,0.0335,3.09e-06,0.492,0.646,181.855,179751,4,2017,""Energic"""
"88,""6g1v2Cw2gejBa4qRQM3QKm"",0.631,0.691,2,-5.383,0,0.0372,0.0107,0,0.184,0.291,107.89,180000,4,2017,""Low Enerjic"""
"89,""04yr4MXjMrQZlZlcdqFtgN"",0.812,0.699,3,-5.882,1,0.0473,0.376,0,0.127,0.52,124.014,181613,4,2017,""Low Enerjic"""
"90,""59JayqW5h9kyhLEcCTwPRX"",0.833,0.806,10,-5.946,0,0.113,0.231,0.00944,0.0681,0.64,110.098,179625,4,2017,""Energic"""
"91,""4NtcojKRdDC5AL9PtxlAQN"",0.475,0.652,6,-7.38,0,0.0383,0.0388,5.19e-06,0.0999,0.3,89.821,179541,4,2017,""Low Enerjic"""
"92,""2cVoJmMLx0uhezvXOIvogS"",0.618,0.669,11,-5.053,0,0.0933,0.482,0,0.0939,0.472,106.426,183613,4,2017,""Low Enerjic"""
"93,""5DogshhX7OQqGTZvYw7rBi"",0.41,0.372,5,-8.181,1,0.0419,0.397,0,0.325,0.253,128.437,179948,4,2017,""Low Enerjic"""
"94,""541qtYs85Hx9yxLhh00aCT"",0.266,0.34,2,-10.726,1,0.032,0.848,0.0758,0.14,0.145,148.901,187597,4,2017,""Low Enerjic"""
"95,""5myq1sZmpLWsdTxhoQYkxA"",0.5,0.738,10,-5.949,0,0.0865,0.0167,0,0.108,0.773,75.135,179961,4,2017,""Low Enerjic"""
"96,""3ETIdeZcAiPQkHS1h0lyiY"",0.706,0.644,8,-7.045,0,0.0372,0.0136,3.2e-05,0.187,0.357,126.02,186579,4,2017,""Low Enerjic"""
"97,""03o3DA7HEqZPFVKL9R28ur"",0.649,0.775,1,-4.684,1,0.0582,0.041,0.000516,0.101,0.274,100.996,185347,4,2017,""Energic"""
"98,""1VlyOHFito6ioGEA26PZ3f"",0.286,0.678,7,-5.635,0,0.0554,0.159,0,0.0933,0.158,131.8,178434,4,2017,""Low Enerjic"""
"99,""3sYfjGbIfgJWZE4Mi6DTHL"",0.476,0.954,4,-4.116,1,0.111,0.0818,0,0.327,0.454,154.794,182256,4,2017,""High Energic"""
"100,""0Skpofj44N2m60sa74Aufz"",0.546,0.729,9,-6.303,0,0.219,0.581,0,0.477,0.452,108.212,181133,4,2017,""Low Enerjic"""
"101,""7xzXyOnErZDcgsGlchy4ec"",0.569,0.903,1,-4.825,0,0.0786,0.00255,0.00128,0.121,0.315,101.952,186471,4,2017,""High Energic"""
"102,""2gVByOGeervnFoKHx6FjTz"",0.521,0.478,1,-5.741,1,0.0273,0.661,0,0.0873,0.19,75.997,180089,4,2017,""Low Enerjic"""
"103,""6ADaThAwRHYRDbqgBexynb"",0.458,0.966,4,-4.427,1,0.0841,0.0228,0,0.392,0.419,154.995,179613,4,2017,""High Energic"""
"104,""1wwcsua0ofpGmmPaTRg1SX"",0.656,0.768,7,-4.117,1,0.0512,0.0133,4.94e-06,0.106,0.881,169.94,182282,4,2017,""Energic"""
"105,""1yyzu2HEoj1HduUEHYi8Lu"",0.421,0.547,2,-5.982,1,0.0406,0.3,1.48e-05,0.518,0.135,134.901,180659,4,2017,""Low Enerjic"""
"106,""2cfOJEps2LXYNQgbAwM3bR"",0.647,0.624,4,-5.335,0,0.0367,0.516,0,0.165,0.461,142.999,180000,4,2016,""Low Enerjic"""
"107,""1G5qDCiqei7ozj5ku43TuR"",0.613,0.834,0,-5.164,1,0.0327,0.0211,0,0.225,0.524,110.069,179482,4,2016,""Energic"""
"108,""1QJFNfsVQA7VfUJFKgQJzI"",0.567,0.875,1,-4.818,1,0.0444,0.0263,0,0.17,0.489,120.058,212280,4,2016,""High Energic"""
"109,""2b9czDPSLTI88694CIqCy3"",0.523,0.818,4,-4.062,0,0.071,0.344,0,0.098,0.32,135.56,195480,4,2016,""Energic"""
"110,""7cVXtwDpck4Kne4Ce8Ge6q"",0.632,0.895,11,-5.276,0,0.0605,0.0416,0,0.0885,0.282,127.983,186892,4,2016,""High Energic"""
"111,""59YDuvEyFGZaId3dyFu8RN"",0.675,0.551,1,-7.268,1,0.0665,0.0337,0,0.0921,0.518,114.97,176353,4,2016,""Low Enerjic"""
"112,""6F3waFskKCqXmiR5gaquey"",0.535,0.712,5,-7.82,0,0.0541,0.0861,5.81e-06,0.11,0.329,119.906,178327,4,2016,""Low Enerjic"""
"113,""5IIIR38OtnHnEcMvyOMsOe"",0.451,0.539,5,-12.399,1,0.0509,0.0338,0,0.202,0.31,134.192,179104,4,2016,""Low Enerjic"""
"114,""26bqkV4bV12BKHnuUIGLII"",0.601,0.794,7,-4.95,1,0.0281,0.0836,7.44e-06,0.0564,0.668,123.747,166173,4,2016,""Energic"""
